iter	Passed	Remaining
0	11	11378
1	20	10214
2	29	9818
3	37	9453
4	46	9263
5	54	9057
6	63	8966
7	71	8827
8	80	8810
9	88	8765
10	98	8885
11	107	8822
12	116	8841
13	126	8906
14	135	8906
15	145	8935
16	153	8878
17	162	8867
18	170	8813
19	179	8791
20	188	8768
21	197	8777
22	206	8781
23	215	8752
24	224	8738
25	231	8688
26	240	8672
27	248	8640
28	257	8633
29	265	8588
30	273	8560
31	281	8525
32	290	8501
33	298	8482
34	307	8468
35	315	8442
36	324	8442
37	332	8411
38	340	8391
39	348	8366
40	357	8365
41	365	8345
42	375	8348
43	383	8334
44	393	8354
45	403	8360
46	411	8352
47	421	8356
48	429	8333
49	438	8331
50	446	8317
51	457	8333
52	466	8329
53	475	8321
54	483	8311
55	492	8298
56	501	8303
57	510	8293
58	518	8268
59	526	8249
60	535	8239
61	543	8221
62	552	8218
63	560	8198
64	569	8190
65	577	8173
66	587	8181
67	596	8176
68	605	8164
69	614	8158
70	622	8140
71	630	8131
72	638	8112
73	648	8109
74	656	8096
75	666	8108
76	676	8103
77	685	8104
78	695	8107
79	703	8092
80	712	8083
81	720	8071
82	729	8061
83	737	8046
84	746	8035
85	754	8015
86	762	8004
87	771	7993
88	779	7982
89	787	7966
90	796	7955
91	804	7940
92	812	7924
93	822	7923
94	831	7917
95	838	7899
96	848	7903
97	857	7888
98	866	7882
99	874	7871
100	883	7860
101	891	7850
102	899	7836
103	909	7835
104	917	7817
105	926	7810
106	934	7798
107	942	7787
108	951	7775
109	959	7761
110	967	7748
111	976	7741
112	984	7727
113	993	7719
114	1001	7706
115	1010	7701
116	1019	7692
117	1027	7680
118	1035	7667
119	1044	7660
120	1052	7643
121	1060	7631
122	1067	7610
123	1075	7599
124	1083	7582
125	1091	7571
126	1099	7558
127	1108	7554
128	1116	7541
129	1126	7536
130	1134	7526
131	1143	7521
132	1152	7511
133	1160	7502
134	1170	7497
135	1178	7486
136	1188	7486
137	1198	7486
138	1209	7490
139	1219	7492
140	1229	7488
141	1239	7492
142	1257	7536
143	1271	7557
144	1283	7566
145	1292	7560
146	1302	7560
147	1310	7546
148	1319	7535
149	1327	7521
150	1336	7514
151	1344	7503
152	1353	7490
153	1360	7475
154	1368	7463
155	1376	7447
156	1384	7434
157	1391	7416
158	1399	7402
159	1406	7386
160	1414	7373
161	1422	7355
162	1430	7343
163	1437	7329
164	1446	7320
165	1454	7307
166	1462	7295
167	1470	7282
168	1479	7274
169	1487	7262
170	1496	7253
171	1503	7240
172	1513	7234
173	1522	7227
174	1531	7218
175	1540	7212
176	1549	7206
177	1557	7193
178	1566	7186
179	1575	7177
180	1583	7166
181	1591	7153
182	1599	7142
183	1608	7133
184	1616	7122
185	1626	7118
186	1634	7106
187	1643	7097
188	1651	7085
189	1660	7077
190	1669	7071
191	1678	7064
192	1686	7052
193	1695	7043
194	1702	7029
195	1711	7019
196	1719	7008
197	1728	7000
198	1736	6989
199	1745	6981
200	1754	6975
201	1766	6976
202	1775	6972
203	1785	6966
204	1793	6955
205	1802	6947
206	1810	6936
207	1819	6929
208	1828	6918
209	1837	6910
210	1845	6899
211	1854	6892
212	1863	6883
213	1871	6873
214	1879	6862
215	1887	6852
216	1896	6841
217	1905	6834
218	1913	6824
219	1921	6814
220	1930	6804
221	1939	6796
222	1947	6787
223	1956	6776
224	1964	6767
225	1972	6756
226	1982	6750
227	1990	6738
228	1999	6730
229	2006	6718
230	2016	6711
231	2024	6701
232	2032	6691
233	2040	6678
234	2048	6668
235	2057	6659
236	2065	6650
237	2073	6639
238	2083	6632
239	2091	6622
240	2100	6615
241	2107	6602
242	2115	6590
243	2124	6581
244	2133	6573
245	2142	6566
246	2150	6556
247	2159	6548
248	2167	6537
249	2176	6528
250	2184	6517
251	2193	6510
252	2201	6500
253	2209	6487
254	2215	6471
255	2221	6457
256	2229	6446
257	2237	6434
258	2245	6424
259	2253	6414
260	2262	6405
261	2269	6392
262	2277	6383
263	2285	6372
264	2295	6365
265	2303	6355
266	2312	6347
267	2319	6335
268	2327	6325
269	2335	6315
270	2345	6309
271	2353	6297
272	2361	6288
273	2368	6276
274	2377	6268
275	2385	6257
276	2394	6248
277	2401	6238
278	2410	6229
279	2418	6218
280	2426	6208
281	2434	6198
282	2442	6188
283	2450	6177
284	2457	6165
285	2465	6154
286	2472	6143
287	2480	6133
288	2489	6124
289	2497	6114
290	2506	6106
291	2513	6095
292	2522	6086
293	2530	6077
294	2539	6069
295	2547	6058
296	2555	6049
297	2563	6038
298	2572	6030
299	2580	6020
300	2588	6010
301	2596	6000
302	2604	5991
303	2612	5980
304	2620	5971
305	2627	5960
306	2636	5951
307	2644	5941
308	2652	5931
309	2660	5921
310	2668	5911
311	2676	5902
312	2685	5894
313	2693	5884
314	2702	5875
315	2711	5868
316	2720	5861
317	2729	5854
318	2740	5849
319	2750	5843
320	2759	5837
321	2769	5831
322	2779	5825
323	2789	5819
324	2799	5814
325	2808	5806
326	2818	5800
327	2827	5792
328	2836	5785
329	2846	5778
330	2855	5771
331	2864	5763
332	2873	5756
333	2882	5748
334	2891	5740
335	2901	5733
336	2910	5726
337	2920	5719
338	2928	5710
339	2938	5703
340	2948	5698
341	2957	5691
342	2967	5684
343	2977	5678
344	2987	5671
345	2996	5664
346	3006	5657
347	3016	5650
348	3025	5643
349	3035	5637
350	3045	5630
351	3053	5621
352	3064	5617
353	3074	5610
354	3083	5602
355	3095	5599
356	3104	5591
357	3114	5584
358	3123	5576
359	3133	5570
360	3144	5565
361	3153	5558
362	3163	5551
363	3173	5544
364	3183	5539
365	3193	5532
366	3204	5527
367	3214	5521
368	3224	5514
369	3234	5507
370	3244	5500
371	3252	5490
372	3261	5483
373	3271	5476
374	3280	5467
375	3290	5461
376	3299	5453
377	3309	5445
378	3318	5436
379	3328	5430
380	3336	5421
381	3345	5412
382	3354	5404
383	3364	5396
384	3373	5388
385	3381	5379
386	3391	5371
387	3400	5363
388	3409	5354
389	3418	5347
390	3427	5338
391	3438	5332
392	3447	5324
393	3456	5315
394	3466	5308
395	3475	5301
396	3485	5294
397	3495	5287
